Game_ID,Date,Season,Opponent,Home_Away_Neutral,Game_Type,Location,Davidson_Record_After,Opponent_Record_After,Davidson_Final_Points,Opponent_Final_Points,Result,Point_Differential,Overtime,Overtime_Periods,Davidson_First_Half_Points,Opponent_First_Half_Points,Davidson_Second_Half_Points,Opponent_Second_Half_Points,Halftime_Leader,Halftime_Margin,Second_Half_Differential,Comeback_Win,Blew_Halftime_Lead,Game_Flow_Tag,Davidson_FG_Made,Davidson_FG_Attempted,Davidson_FG_Percentage,Opponent_FG_Made,Opponent_FG_Attempted,Opponent_FG_Percentage,Davidson_3PT_Made,Davidson_3PT_Attempted,Davidson_3PT_Percentage,Opponent_3PT_Made,Opponent_3PT_Attempted,Opponent_3PT_Percentage,Davidson_FT_Made,Davidson_FT_Attempted,Davidson_FT_Percentage,Opponent_FT_Made,Opponent_FT_Attempted,Opponent_FT_Percentage,Davidson_Rebounds,Opponent_Rebounds,Rebound_Differential,Davidson_Offensive_Rebounds,Opponent_Offensive_Rebounds,Davidson_Defensive_Rebounds,Opponent_Defensive_Rebounds,Davidson_Assists,Opponent_Assists,Davidson_Turnovers,Opponent_Turnovers,Turnover_Differential,Davidson_Steals,Opponent_Steals,Davidson_Blocks,Opponent_Blocks,Davidson_Bench_Points,Opponent_Bench_Points,Bench_Point_Differential,Davidson_Points_In_Paint,Opponent_Points_In_Paint,Davidson_Points_Off_Turnovers,Opponent_Points_Off_Turnovers,Davidson_Second_Chance_Points,Opponent_Second_Chance_Points,Davidson_Fast_Break_Points,Opponent_Fast_Break_Points,Lead_Changes,Times_Tied,Davidson_Largest_Lead,Opponent_Largest_Lead,Game_Winning_Shot,Clutch_Game,Davidson_Technical_Fouls,Opponent_Technical_Fouls,Total_Technical_Fouls,Davidson_Flagrant_Fouls,Opponent_Flagrant_Fouls,Total_Flagrant_Fouls,Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds,Top_Scorer_Davidson_Assists,Top_Scorer_Davidson_Minutes,Second_Key_Player_Davidson,Second_Key_Player_Davidson_Statline,Third_Key_Player_Davidson,Third_Key_Player_Davidson_Statline,Top_Scorer_Opponent,Top_Scorer_Opponent_Points,Top_Scorer_Opponent_Rebounds,Top_Scorer_Opponent_Assists,Top_Scorer_Opponent_Minutes,Double_Doubles_Davidson,Triple_Doubles_Davidson,Double_Doubles_Opponent,Triple_Doubles_Opponent,Generated_Narrative_Target
20260131062017-2743869,01/31/26,2025-26,Richmond,Away,Regular Season,"Robins Center, Richmond, VA",14-8,13-11,79,54,W,25,No,0,34,15,45,39,Davidson,19,6,0,0,Blowout win,32,60,53.3,18,50,36.0,13,25,52.0,7,27,25.9,2,4,50.0,11,16,68.8,36,23,13,14,9,22,14,18,9,9,10,-1,7,5,0,4,40,24,16,34,14,9,8,18,14,6,6,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",23,6,0,19,"Friedrichsen,Parker","15 pts, 4 reb, 3 ast","Scovens,Josh","14 pts, 5 reb, 1 ast","Johnston,Will",11,3,2,34,0,0,0,0,"Davidson showcased its depth in a win over Richmond. Blums,Roberts led the way with 23 points, 6 rebounds and 0 assists. Scovens,Josh also contributed with 14 pts, 5 reb, 1 ast. Davidson built a 19-point lead by halftime and maintained control from there.

Davidson limited Richmond to 54 points with steady defensive pressure. The result reflects Davidson’s strong execution."
20260213123636-2742925,02/06/26,2025-26,Loyola Chicago,Home,Regular Season,"Belk Arena, Davidson, NC",15-9,6-20,84,64,W,20,No,0,47,29,37,35,Davidson,18,2,0,0,Blowout win,32,57,56.1,23,47,48.9,12,26,46.2,6,16,37.5,8,10,80.0,12,21,57.1,26,28,-2,7,10,19,18,16,11,9,15,-6,8,3,3,4,35,30,5,34,34,23,6,4,9,17,3,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",16,0,1,22,"Friedrichsen,Parker","15 pts, 3 reb, 2 ast","Scovens,Josh","14 pts, 0 reb, 2 ast","Rubin,Miles",17,7,0,25,0,0,0,0,"Davidson relied on strong defense to defeat Loyola Chicago. Blums,Roberts had a well-rounded game with 16 points, 0 rebounds and 1 assists. Scovens,Josh also contributed with 14 pts, 0 reb, 2 ast. Davidson built a 18-point lead by halftime and maintained control from there.

Davidson found success inside, scoring 34 points in the paint. Davidson built a 18-point lead by halftime and maintained control from there. Davidson continues to build momentum with another strong performance."
20260209080006-2808113,02/09/26,2025-26,Mid-Atlantic Christ.,Home,Regular Season,"Belk Arena, Davidson, NC",16-9,2-11,114,53,W,61,No,0,50,17,64,36,Davidson,33,28,0,0,Blowout win,41,67,61.2,20,69,29.0,15,30,50.0,1,11,9.1,17,20,85.0,12,17,70.6,51,27,24,13,13,38,14,27,4,13,13,0,8,8,13,1,65,27,38,52,34,18,9,17,2,20,7,0,0,0 0,0 0,,0,0,1,1,0,0,0,"Joses,Manie",14,8,1,20,"Blums,Roberts","14 pts, 2 reb, 4 ast","Friedrichsen,Parker","13 pts, 1 reb, 1 ast","Rodgers,Keondre",9,3,1,18,1,0,0,0,"Davidson used a balanced attack to overcome Mid-Atlantic Christ.. Joses,Manie had a well-rounded game with 14 points, 8 rebounds and 1 assists. Davidson built a 33-point lead by halftime and maintained control from there.

Davidson limited its opponent to just 29.0% shooting from the field. Davidson built a 33-point lead by halftime and maintained control from there. Davidson will look to carry this momentum forward."
20260215053105-2749420,02/15/26,2025-26,Dayton,Away,Regular Season,"University of Dayton Arena, Dayton, OH",15-11,17-9,59,70,L,-11,No,0,26,34,33,36,Opponent,8,-3,0,0,Controlled loss,22,50,44.0,22,48,45.8,8,21,38.1,5,15,33.3,7,11,63.6,21,24,87.5,18,39,-21,5,14,13,25,12,16,10,16,-6,9,7,6,3,15,19,-4,26,32,14,13,8,16,5,6,1,1,0 0,0 0,,0,0,0,0,0,0,0,"Friedrichsen,Parker",21,3,3,32,"Scovens,Josh","15 pts, 2 reb, 1 ast","Blums,Roberts","9 pts, 0 reb, 0 ast","Montgomery,De'Shayne",13,4,0,29,0,0,1,0,"Davidson delivered a competitive performance against Dayton. Friedrichsen,Parker sparked the Wildcats with 21 points and 3 assists. Davidson executed well in key moments down the stretch.

Davidson excelled from beyond the arc, hitting 8 of 21 from three-point range. Despite the loss, Davidson showed progress and will build on these lessons."
20260221032446-2742468,02/21/26,2025-26,Fordham,Away,Regular Season,"Rose Hill Gym, Bronx, NY",16-12,17-12,59,63,L,-4,No,0,22,29,37,34,Opponent,7,3,0,0,Close loss,22,50,44.0,21,42,50.0,10,22,45.5,3,13,23.1,5,16,31.2,18,28,64.3,33,31,2,11,7,22,24,15,13,14,11,3,2,10,3,2,30,13,17,14,32,3,23,8,10,5,5,5,4,0 0,0 0,,1,0,0,0,0,0,0,"Blums,Roberts",16,6,1,30,"Friedrichsen,Parker","13 pts, 2 reb, 1 ast","Platteeuw,Ian","8 pts, 4 reb, 3 ast","Reaves,DeJour",21,4,2,30,0,0,0,0,"Davidson delivered a competitive performance against Fordham. Blums,Roberts had a well-rounded game with 16 points, 6 rebounds and 1 assists. Friedrichsen,Parker added important support with 13 pts, 2 reb, 1 ast. Davidson continued to compete and found positive stretches against Fordham.

Davidson finished with 15 assists, showcasing unselfish play. This performance highlights Davidson’s potential moving forward."
20260301022212-2758373,03/01/26,2025-26,La Salle,Home,Regular Season,"Belk Arena, Davidson, NC",19-11,8-22,71,64,W,7,No,0,33,27,38,37,Davidson,6,1,0,0,Controlled win,25,53,47.2,18,53,34.0,8,20,40.0,5,15,33.3,13,21,61.9,23,27,85.2,37,31,6,9,8,28,23,14,10,13,10,3,7,8,6,4,37,10,27,30,26,9,7,14,6,7,12,5,3,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",17,4,3,28,"Scovens,Josh","16 pts, 3 reb, 1 ast","Brown,Devin","13 pts, 4 reb, 1 ast","Harris,Truth",17,1,2,31,0,0,0,0,"Davidson used a balanced attack to overcome La Salle. Blums,Roberts paced Davidson with 17 points. Davidson built a 6-point lead by halftime and maintained control from there.

Davidson excelled from beyond the arc, hitting 8 of 20 from three-point range. Davidson built a 6-point lead by halftime and maintained control from there. Davidson will look to carry this momentum forward."
20260304083319-2749484,03/04/26,2025-26,Saint Joseph's,Home,Regular Season,"Belk Arena, Davidson, NC",18-13,21-10,67,70,L,-3,No,0,35,37,32,33,Opponent,2,-1,0,0,Close loss,25,59,42.4,25,53,47.2,9,31,29.0,8,23,34.8,8,16,50.0,12,14,85.7,27,41,-14,4,7,23,34,11,13,3,13,-10,7,3,3,5,10,15,-5,26,34,17,5,5,8,12,15,15,7,0 0,0 0,,1,0,0,0,0,0,0,"Brown,Sam",20,3,2,33,"Friedrichsen,Parker","18 pts, 2 reb, 2 ast","Scovens,Josh","14 pts, 3 reb, 0 ast","Glover-Toscano,Jaiden",23,9,0,36,0,0,0,0,"Davidson showed flashes of strong play despite the result against Saint Joseph's. Brown,Sam contributed a season-high 20 points and 3 rebounds for Davidson. Friedrichsen,Parker added important support with 18 pts, 2 reb, 2 ast. Scovens,Josh also contributed with 14 pts, 3 reb, 0 ast. After trailing at halftime, Davidson responded with better execution and energy in the second half.

Davidson found success in transition with 12 fast-break points. Davidson will look to build on the positives from this performance."
20260000000,11/29/24,2024-25,Dayton,Home,Tournament,John M. Belk Arena,12-4,7-12,61,84,L,23,No,0,29,34,32,50,Opponent,5,-18,No,No,Blowout,21,52,40.4,21,50,42.0,5,13,38.5,10,32,31.2,17,24,70.8,8,10,80.0,30,38,-8,10,9,20,29,14,11,13,9,4,4,9,2,6,21,16,5,21,34,16,9,11,6,12,8,7,6,11,7,Yes,No,2,0,2,1,0,1,"Walker,Donald",18,8,3,39,"Lopez,Scott","10 pts, 4 reb, 3 ast","Davis,Steven","15 pts, 6 reb, 1 ast","White,Christopher",22,5,2,39,0,0,0,0,"Davidson delivered a competitive performance against Dayton. Walker,Donald paced Davidson with 18 points. Davis,Steven also contributed with 15 pts, 6 reb, 1 ast. Davidson displayed composure in the clutch, making key plays late.

Davidson capitalized on second-chance opportunities, adding 11 second-chance points. Davidson will look to build on the positives from this performance."
20260000001,02/06/25,2024-25,Duquesne,Away,Tournament,UPMC Cooper Fieldhouse,12-6,4-4,57,70,L,13,Yes,2,20,26,37,44,Opponent,6,-7,No,No,Standard,30,68,44.1,25,56,44.6,12,39,30.8,6,19,31.6,16,20,80.0,17,24,70.8,43,37,6,10,8,33,29,14,16,15,9,6,3,4,3,3,23,10,13,32,32,17,15,13,9,12,4,3,7,22,13,No,No,0,1,1,1,0,1,"Hernandez,James",23,10,7,30,"Martin,Richard","18 pts, 4 reb, 6 ast","Martin,Paul","7 pts, 3 reb, 2 ast","Jackson,James",23,7,4,25,1,0,0,0,"Davidson responded after halftime and continued to challenge Duquesne. Hernandez,James sparked the Wildcats with 23 points and 7 assists. Davidson received a spark from its bench, which contributed 23 points. Davidson executed well in key moments down the stretch.

Davidson turned defense into offense with 17 points off turnovers. This performance highlights Davidson’s potential moving forward."
20260000002,11/29/24,2024-25,Fordham,Away,Conference,Rose Hill Gym,6-4,5-2,86,54,W,32,No,0,32,20,54,34,Davidson,12,20,No,No,Blowout,35,59,59.3,20,47,42.6,11,25,44.0,7,18,38.9,14,16,87.5,18,26,69.2,41,39,2,6,8,35,31,17,9,13,8,5,12,11,4,4,10,10,0,40,21,11,9,5,10,5,12,5,4,20,11,Yes,No,2,2,4,1,0,1,"Lewis,Nicholas",28,5,1,28,"Lee,Jeffrey","13 pts, 5 reb, 4 ast","Hernandez,John","15 pts, 6 reb, 1 ast","Johnson,Timothy",25,7,1,32,0,0,0,0,"Davidson showcased its depth in a win over Fordham. Lewis,Nicholas led the way with 28 points, 5 rebounds and 1 assists. Davidson built a 12-point lead by halftime and maintained control from there.

Davidson took advantage at the free-throw line, converting 87.5% of its attempts. The result reflects Davidson’s strong execution."
20260000003,12/20/24,2024-25,George Mason,Home,Tournament,John M. Belk Arena,9-7,8-5,84,65,W,19,No,0,35,29,49,36,Davidson,6,13,No,No,Blowout,23,56,41.1,26,50,52.0,6,14,42.9,7,23,30.4,15,19,78.9,14,17,82.4,30,37,-7,5,11,25,26,18,22,15,12,3,9,11,8,3,16,17,-1,26,21,17,19,13,5,9,4,2,6,20,21,Yes,No,0,2,2,0,0,0,"Williams,David",22,8,1,32,"Thompson,Robert","17 pts, 2 reb, 4 ast","Lee,Kevin","9 pts, 2 reb, 3 ast","Garcia,Kenneth",20,4,6,34,0,0,0,0,"Davidson relied on strong defense to defeat George Mason. Williams,David led the way with 22 points, 8 rebounds and 1 assists. Thompson,Robert added important support with 17 pts, 2 reb, 4 ast. Lee,Kevin also contributed with 9 pts, 2 reb, 3 ast. Davidson built a 6-point lead by halftime and maintained control from there.

Davidson turned defense into offense with 17 points off turnovers. With the win, Davidson improves to 9-7."
20260000004,02/26/25,2024-25,George Washington,Away,Regular,Charles E. Smith Center,19-10,6-2,89,63,W,26,No,0,37,23,52,40,Davidson,14,12,No,No,Blowout,31,54,57.4,32,76,42.1,9,29,31.0,8,22,36.4,20,25,80.0,8,10,80.0,42,34,8,15,6,27,28,14,12,9,9,0,11,5,5,5,29,14,15,30,26,18,18,9,13,11,8,2,2,25,18,No,No,0,0,0,1,0,1,"Lopez,Kenneth",20,9,5,38,"Jackson,James","9 pts, 2 reb, 6 ast","Perez,Joseph","13 pts, 1 reb, 3 ast","Thompson,Joseph",20,4,1,34,0,0,0,0,"Davidson showcased its depth in a win over George Washington. Lopez,Kenneth paced Davidson with 20 points. Jackson,James added important support with 9 pts, 2 reb, 6 ast. Davidson received a spark from its bench, which contributed 29 points. Perez,Joseph also contributed with 13 pts, 1 reb, 3 ast. Davidson built a 14-point lead by halftime and maintained control from there.

Davidson protected the rim effectively with 5 blocks. Davidson built a 14-point lead by halftime and maintained control from there. Davidson will look to carry this momentum forward."
20260000005,02/02/25,2024-25,La Salle,Home,Conference,John M. Belk Arena,12-2,14-13,90,76,W,14,No,0,34,28,56,48,Davidson,6,8,No,No,Standard,25,42,59.5,30,73,41.1,11,39,28.2,9,23,39.1,14,16,87.5,11,16,68.8,28,37,-9,5,12,23,25,17,11,15,13,2,7,6,4,1,16,20,-4,30,28,9,20,9,10,14,12,8,7,22,15,Yes,No,0,1,1,0,1,1,"Johnson,Richard",28,7,6,35,"Thomas,Jacob","9 pts, 5 reb, 5 ast","Davis,Kenneth","5 pts, 6 reb, 4 ast","Smith,Paul",19,8,1,35,0,0,0,0,"Davidson showcased its depth in a win over La Salle. Johnson,Richard delivered a standout performance with 28 points. Davidson built a 6-point lead by halftime and maintained control from there.

Davidson took advantage at the free-throw line, converting 87.5% of its attempts. Davidson built a 6-point lead by halftime and maintained control from there. Davidson continues to build momentum with another strong performance."
20260000006,01/20/25,2024-25,Loyola Chicago,Neutral,Regular,Neutral Site,14-9,12-11,81,70,W,11,Yes,2,35,25,46,45,Davidson,10,1,No,No,Standard,26,54,48.1,24,48,50.0,7,18,38.9,8,24,33.3,8,11,72.7,11,16,68.8,43,44,-1,15,10,28,34,24,15,15,18,-3,6,11,8,3,12,17,-5,36,40,17,13,6,8,14,8,5,8,11,9,Yes,No,0,0,0,1,0,1,"Hernandez,Jason",21,8,4,37,"Garcia,Joseph","18 pts, 7 reb, 1 ast","Perez,Richard","11 pts, 2 reb, 2 ast","Lewis,Gary",14,10,2,28,0,0,1,0,"Davidson used a balanced attack to overcome Loyola Chicago. Hernandez,Jason led the way with 21 points, 8 rebounds and 4 assists. Garcia,Joseph added important support with 18 pts, 7 reb, 1 ast. Davidson pushed the game beyond regulation and competed deep into overtime.

Davidson protected the ball well and won the turnover battle. The result reflects Davidson’s strong execution."
20260000007,02/25/25,2024-25,Massachusetts,Home,Conference,John M. Belk Arena,15-8,16-14,90,78,W,12,No,0,45,33,45,45,Davidson,12,0,No,No,Standard,28,51,54.9,31,63,49.2,12,31,38.7,8,23,34.8,19,26,73.1,12,18,66.7,42,27,15,7,7,35,20,17,14,10,11,-1,4,9,7,6,27,22,5,33,21,11,14,11,14,4,13,8,5,5,16,No,No,1,1,2,0,1,1,"Garcia,Steven",28,9,1,37,"Martinez,Timothy","19 pts, 3 reb, 4 ast","Hall,Charles","14 pts, 5 reb, 1 ast","Hall,Timothy",23,2,1,38,0,0,0,0,"Davidson showcased its depth in a win over Massachusetts. Garcia,Steven delivered a standout performance with 28 points. Davidson built a 12-point lead by halftime and maintained control from there.

Davidson turned defense into offense with 11 points off turnovers. Davidson built a 12-point lead by halftime and maintained control from there. Davidson will look to carry this momentum forward."
20260000008,12/05/24,2024-25,Rhode Island,Away,Regular,Ryan Center,13-7,13-4,84,70,W,14,Yes,2,32,35,52,35,Opponent,3,17,Yes,No,Standard,33,73,45.2,19,41,46.3,5,11,45.5,9,29,31.0,9,11,81.8,18,30,60.0,25,32,-7,8,5,17,27,14,11,10,15,-5,4,12,4,8,18,19,-1,25,39,17,19,6,7,8,5,2,4,23,17,No,No,2,0,2,0,0,0,"Brown,Brian",18,2,3,38,"Lee,Scott","9 pts, 6 reb, 6 ast","Martinez,James","11 pts, 4 reb, 1 ast","Thomas,Scott",24,9,6,29,0,0,0,0,"Davidson relied on strong defense to defeat Rhode Island. Brown,Brian had a well-rounded game with 18 points, 2 rebounds and 3 assists. Lee,Scott added important support with 9 pts, 6 reb, 6 ast. Martinez,James also contributed with 11 pts, 4 reb, 1 ast. Davidson pushed the game beyond regulation and competed deep into overtime.

Davidson took advantage at the free-throw line, converting 81.8% of its attempts. The result reflects Davidson’s strong execution."
20260000009,02/20/25,2024-25,Richmond,Home,Tournament,John M. Belk Arena,13-10,18-8,82,87,L,5,Yes,2,40,32,42,55,Davidson,8,-13,No,Yes,Close,22,48,45.8,25,59,42.4,12,32,37.5,10,31,32.3,15,17,88.2,10,14,71.4,36,33,3,10,9,26,24,18,16,8,16,-8,6,4,4,7,25,25,0,27,35,18,19,12,12,4,5,6,3,17,12,No,No,2,2,4,1,1,2,"Jackson,Joshua",28,10,3,36,"Gonzalez,Gary","12 pts, 4 reb, 3 ast","Garcia,Thomas","8 pts, 3 reb, 1 ast","Harris,Daniel",17,5,6,40,1,0,0,0,"Davidson battled in a tightly contested matchup against Richmond, falling 82-87. Jackson,Joshua led the way with 28 points, 10 rebounds and 3 assists. Gonzalez,Gary chipped in 12 pts, 4 reb, 3 ast, providing valuable support. Garcia,Thomas gave Davidson a lift off the bench with 8 points. Garcia,Thomas also contributed with 8 pts, 3 reb, 1 ast. Davidson continued to compete and found positive stretches against Richmond.

Davidson shot 45.8% from the field, showing efficient offensive execution. This performance highlights Davidson’s potential moving forward."
20260000010,01/10/25,2024-25,Saint Joseph's,Neutral,Tournament,Atlantic 10 Tournament Neutral Site,14-2,9-5,69,73,L,4,No,0,27,24,42,49,Davidson,3,-7,No,Yes,Close,24,53,45.3,18,38,47.4,7,18,38.9,11,37,29.7,8,10,80.0,15,21,71.4,35,30,5,5,9,30,21,25,9,9,14,-5,10,4,1,3,14,17,-3,22,27,9,16,11,14,13,13,5,8,21,17,No,No,1,1,2,1,1,2,"Thompson,John",18,5,6,31,"Rodriguez,William","10 pts, 3 reb, 2 ast","Jackson,David","7 pts, 1 reb, 4 ast","Hernandez,Nicholas",18,2,2,34,0,0,0,0,"Despite a resilient effort, Davidson lost to Saint Joseph's 69-73. Thompson,John had a well-rounded game with 18 points, 5 rebounds and 6 assists. Davidson continued to compete and found positive stretches against Saint Joseph's.

Davidson excelled from beyond the arc, hitting 7 of 18 from three-point range. Davidson will look to build on the positives from this performance."
20260000011,01/12/25,2024-25,Saint Louis,Neutral,Conference,Neutral Site,12-5,9-7,62,84,L,22,No,0,30,30,32,54,Opponent,0,-22,No,No,Blowout,28,50,56.0,19,49,38.8,9,24,37.5,8,23,34.8,15,18,83.3,14,17,82.4,41,42,-1,12,12,29,30,12,17,8,14,-6,8,12,5,1,12,15,-3,38,38,8,20,15,9,13,4,4,5,21,25,No,No,1,0,1,1,1,2,"Williams,Nicholas",26,8,3,35,"Lee,Richard","10 pts, 4 reb, 4 ast","Gonzalez,Eric","9 pts, 6 reb, 4 ast","Robinson,Robert",21,3,3,33,0,0,0,0,"Despite a resilient effort, Davidson lost to Saint Louis 62-84. Williams,Nicholas led the way with 26 points, 8 rebounds and 3 assists. Gonzalez,Eric also made an impact with 9 pts, 6 reb, 4 ast. Davidson rallied from a 0-point halftime deficit to tie the game.

Davidson excelled from beyond the arc, hitting 9 of 24 from three-point range. Despite the loss, Davidson showed progress and will build on these lessons."
20260000012,01/22/25,2024-25,St. Bonaventure,Home,Conference,John M. Belk Arena,5-9,17-7,58,62,L,4,No,0,24,29,34,33,Opponent,5,1,No,No,Close,35,67,52.2,30,77,39.0,9,24,37.5,8,23,34.8,19,25,76.0,8,9,88.9,44,32,12,7,9,37,23,10,16,14,9,5,6,4,8,2,30,12,18,35,29,16,19,9,11,11,11,5,5,22,9,No,No,0,2,2,0,0,0,"Rodriguez,Jason",25,10,3,25,"Wilson,Brian","17 pts, 6 reb, 6 ast","Moore,Joseph","12 pts, 5 reb, 4 ast","Anderson,Gregory",22,10,4,39,1,0,1,0,"Davidson pushed St. Bonaventure to the finish in a close contest. Rodriguez,Jason delivered a standout performance with 25 points. Wilson,Brian chipped in 17 pts, 6 reb, 6 ast, providing valuable support. Moore,Joseph also contributed with 12 pts, 5 reb, 4 ast. Davidson adjusted well after halftime and outscored St. Bonaventure 34-33 in the second half.

Davidson took advantage at the free-throw line, converting 76.0% of its attempts. Davidson will look to build on the positives from this performance."
20260000013,01/22/25,2024-25,VCU,Home,Tournament,John M. Belk Arena,17-4,16-1,75,80,L,5,No,0,37,32,38,48,Davidson,5,-10,No,Yes,Close,32,54,59.3,30,58,51.7,7,19,36.8,4,13,30.8,17,23,73.9,9,11,81.8,39,28,11,13,12,26,16,10,19,10,14,-4,5,4,8,5,20,20,0,40,22,13,18,13,11,9,14,9,8,22,6,Yes,No,0,2,2,1,0,1,"Harris,William",28,3,7,28,"Hernandez,Christopher","19 pts, 4 reb, 1 ast","Johnson,Kevin","5 pts, 3 reb, 3 ast","Anderson,Jeffrey",16,5,5,38,0,0,0,0,"Davidson battled in a tightly contested matchup against VCU, falling 75-80. Harris,William led the way with 28 points, 3 rebounds and 7 assists. Hernandez,Christopher added important support with 19 pts, 4 reb, 1 ast. Davidson displayed composure in the clutch, making key plays late.

Davidson's bench contributed 20 points. The close result showed Davidson’s ability to compete deep into the game."
20260000014,03/25/25,2024-25,Dayton,Neutral,Regular,Neutral Site,10-2,15-10,70,81,L,11,No,0,25,30,45,51,Opponent,5,-6,No,No,Standard,34,64,53.1,25,59,42.4,5,12,41.7,11,27,40.7,18,23,78.3,9,13,69.2,36,43,-7,9,15,27,28,23,19,12,15,-3,7,6,7,8,13,15,-2,32,38,13,17,9,9,4,14,8,4,5,23,Yes,No,2,2,4,1,1,2,"Clark,Donald",26,5,6,31,"White,Kenneth","18 pts, 8 reb, 6 ast","Clark,Charles","15 pts, 1 reb, 1 ast","Wilson,Ryan",14,7,6,29,0,0,0,0,"Davidson responded after halftime and continued to challenge Dayton. Clark,Donald led the way with 26 points, 5 rebounds and 6 assists. Davidson rallied from a 5-point halftime deficit to tie the game.

Davidson turned defense into offense with 13 points off turnovers. Despite the loss, Davidson showed progress and will build on these lessons."
20260000015,11/24/24,2024-25,Duquesne,Away,Conference,UPMC Cooper Fieldhouse,18-3,9-3,89,73,W,16,No,0,37,26,52,47,Davidson,11,5,No,No,Blowout,28,48,58.3,25,46,54.3,9,22,40.9,9,23,39.1,15,17,88.2,10,13,76.9,32,37,-5,13,10,19,27,12,20,14,8,6,7,11,2,8,21,16,5,38,32,18,13,6,15,7,11,2,6,22,15,Yes,No,2,0,2,1,1,2,"Lopez,Jason",18,4,1,26,"Wilson,Eric","9 pts, 2 reb, 2 ast","Perez,Charles","11 pts, 4 reb, 3 ast","Lee,Jason",23,4,4,28,0,0,0,0,"Davidson used a balanced attack to overcome Duquesne. Lopez,Jason had a well-rounded game with 18 points, 4 rebounds and 1 assists. Davidson received a spark from its bench, which contributed 21 points. Davidson built a 11-point lead by halftime and maintained control from there.

Davidson found success inside, scoring 38 points in the paint. With the win, Davidson improves to 18-3."
20260000016,03/06/25,2024-25,Fordham,Neutral,Conference,Neutral Site,6-6,9-8,83,65,W,18,Yes,1,37,26,46,39,Davidson,11,7,No,No,Blowout,31,75,41.3,22,53,41.5,6,14,42.9,11,38,28.9,11,14,78.6,17,20,85.0,26,35,-9,8,7,18,28,16,9,16,11,5,12,6,4,6,14,8,6,28,24,10,16,9,7,5,14,2,3,5,16,Yes,No,2,1,3,0,0,0,"Rodriguez,John",19,8,5,28,"Harris,David","15 pts, 5 reb, 3 ast","Martin,Richard","12 pts, 5 reb, 2 ast","White,Robert",25,10,3,39,0,0,1,0,"Davidson relied on strong defense to defeat Fordham. Rodriguez,John had a well-rounded game with 19 points, 8 rebounds and 5 assists. Harris,David added important support with 15 pts, 5 reb, 3 ast. Davidson pushed the game beyond regulation and competed deep into overtime.

Davidson excelled from beyond the arc, hitting 6 of 14 from three-point range. Davidson will look to carry this momentum forward."
20260000017,11/08/24,2024-25,George Mason,Home,Conference,John M. Belk Arena,18-2,18-12,83,54,W,29,No,0,32,27,51,27,Davidson,5,24,No,No,Blowout,24,58,41.4,22,45,48.9,10,29,34.5,8,23,34.8,17,22,77.3,9,11,81.8,45,42,3,8,11,37,31,24,22,11,14,-3,8,10,7,7,13,18,-5,33,30,18,12,10,7,14,11,3,2,7,7,No,No,0,2,2,1,0,1,"Jackson,John",25,3,4,36,"Walker,Jeffrey","19 pts, 2 reb, 3 ast","White,Brian","10 pts, 1 reb, 2 ast","Jones,Nicholas",17,3,3,36,0,0,0,0,"Davidson used a balanced attack to overcome George Mason. Jackson,John led the way with 25 points, 3 rebounds and 4 assists. Davidson built a 5-point lead by halftime and maintained control from there.

Davidson capitalized on second-chance opportunities, adding 10 second-chance points. Davidson built a 5-point lead by halftime and maintained control from there. Davidson will look to carry this momentum forward."
20260000018,11/30/24,2024-25,George Washington,Away,Tournament,Charles E. Smith Center,18-9,3-10,72,51,W,21,No,0,28,21,44,30,Davidson,7,14,No,No,Blowout,30,64,46.9,20,38,52.6,11,38,28.9,4,14,28.6,16,23,69.6,14,20,70.0,30,36,-6,9,10,21,26,12,22,8,10,-2,5,12,1,2,18,22,-4,33,35,17,15,11,9,7,12,3,4,18,8,No,No,2,2,4,1,1,2,"Johnson,Donald",27,2,1,31,"Wilson,Mark","20 pts, 3 reb, 3 ast","Wilson,Kevin","6 pts, 1 reb, 4 ast","Harris,Jeffrey",16,4,4,32,0,0,0,0,"Davidson relied on strong defense to defeat George Washington. Johnson,Donald led the way with 27 points, 2 rebounds and 1 assists. Davidson built a 7-point lead by halftime and maintained control from there.

Davidson found success inside, scoring 33 points in the paint. Davidson built a 7-point lead by halftime and maintained control from there. Davidson continues to build momentum with another strong performance."
